timestep,timestamp,error,lap_number,speed_scalar,blur_level,pos_x,pos_y,pos_z
1,0.0001,0.1562,0,0.2,0,-0.0,-0.0,1.00046
2,0.032,0.1562,0,0.2,0,-0.0,-0.0,1.000446
3,0.064,0.1668,0,0.2,0,-0.0,-0.0,1.000434
4,0.0954,0.1551,0,0.2,0,0.000155,-0.0,1.000421
5,0.1272,0.1651,0,0.2,0,0.00062,-0.0,1.000402
6,0.1602,0.1836,0,0.2,0,0.001509,-0.0,1.000374
7,0.1951,0.1935,0,0.2,0,0.002909,-1e-06,1.000334
8,0.2279,0.2024,0,0.2,0,0.004874,-3e-06,1.000279
9,0.2618,0.2017,0,0.2,0,0.007412,-9e-06,1.000211
10,0.2926,0.2004,0,0.2,0,0.010497,-2e-05,1.000131
11,0.3235,0.2067,0,0.2,0,0.014072,-3.7e-05,1.000043
12,0.3535,0.2049,0,0.2,0,0.018058,-6.2e-05,0.999951
13,0.3851,0.2111,0,0.2,0,0.022368,-9.5e-05,0.99986
14,0.4179,0.2019,0,0.2,0,0.026917,-0.000138,0.999772
15,0.4554,0.2089,0,0.2,0,0.031626,-0.000191,0.999689
16,0.4885,0.2001,0,0.2,0,0.036427,-0.000253,0.999611
17,0.5187,0.2068,0,0.2,0,0.04127,-0.000325,0.999539
18,0.5522,0.2223,0,0.2,0,0.046128,-0.000407,0.999473
19,0.5814,0.2145,0,0.2,0,0.050993,-0.0005,0.999413
20,0.6126,0.23,0,0.2,0,0.055876,-0.000604,0.999359
21,0.646,0.2378,0,0.2,0,0.06079,-0.000721,0.99931
22,0.6789,0.2459,0,0.2,0,0.06575,-0.00085,0.999267
23,0.7142,0.2462,0,0.2,0,0.070771,-0.000993,0.999229
24,0.7447,0.2537,0,0.2,0,0.075865,-0.001149,0.999197
25,0.7765,0.2538,0,0.2,0,0.081037,-0.001319,0.999169
26,0.808,0.2609,0,0.2,0,0.086294,-0.001503,0.999146
27,0.8409,0.2535,0,0.2,0,0.091634,-0.001701,0.999127
28,0.8725,0.254,0,0.2,0,0.097057,-0.001912,0.999114
29,0.9031,0.2466,0,0.2,0,0.102554,-0.002137,0.999104
30,0.9376,0.2464,0,0.2,0,0.108115,-0.002376,0.999099
31,0.9719,0.2313,0,0.2,0,0.113724,-0.002627,0.999098
32,1.0061,0.2462,0,0.2,0,0.119365,-0.00289,0.999101
33,1.0388,0.2619,0,0.2,0,0.125027,-0.003166,0.999108
34,1.0712,0.2541,0,0.2,0,0.130703,-0.003454,0.999119
35,1.1045,0.2077,0,0.2,0,0.13639,-0.003754,0.999133
36,1.1339,0.2153,0,0.2,0,0.142089,-0.004066,0.999151
37,1.1644,0.2074,0,0.2,0,0.147801,-0.004391,0.999172
38,1.1966,0.231,0,0.2,0,0.153528,-0.004728,0.999196
39,1.2296,0.2454,0,0.2,0,0.159274,-0.005077,0.999222
40,1.2618,0.2531,0,0.2,0,0.165042,-0.005439,0.999251
41,1.2931,0.2302,0,0.2,0,0.170834,-0.005813,0.999282
42,1.3273,0.2213,0,0.2,0,0.176654,-0.0062,0.999316
43,1.3606,0.2367,0,0.2,0,0.182502,-0.006599,0.999351
44,1.3977,0.2357,0,0.2,0,0.188379,-0.00701,0.999388
45,1.4294,0.2057,0,0.2,0,0.194285,-0.007434,0.999427
46,1.462,0.1757,0,0.2,0,0.20022,-0.007871,0.999467
47,1.4932,0.1907,0,0.2,0,0.206181,-0.00832,0.999507
48,1.5215,0.1979,0,0.2,0,0.212161,-0.008782,0.999549
49,1.5508,0.213,0,0.2,0,0.21815,-0.009256,0.999592
50,1.5848,0.2129,0,0.2,0,0.224137,-0.009741,0.999635
51,1.6171,0.2207,0,0.2,0,0.230114,-0.010238,0.999679
52,1.6553,0.2125,0,0.2,0,0.23608,-0.010746,0.999723
53,1.6853,0.2128,0,0.2,0,0.242034,-0.011266,0.999767
54,1.7175,0.2285,0,0.2,0,0.247974,-0.011797,0.999811
55,1.7505,0.2284,0,0.2,0,0.253904,-0.01234,0.999855
56,1.7795,0.2439,0,0.2,0,0.25983,-0.012896,0.999899
57,1.8131,0.2046,0,0.2,0,0.265754,-0.013464,0.999942
58,1.8438,0.213,0,0.2,0,0.271682,-0.014045,0.999985
59,1.8758,0.2058,0,0.2,0,0.277623,-0.01464,1.000027
60,1.9093,0.1982,0,0.2,0,0.283581,-0.015249,1.000068
61,1.9457,0.1977,0,0.2,0,0.28956,-0.015872,1.000108
62,1.9763,0.2054,0,0.2,0,0.295561,-0.01651,1.000147
63,2.0093,0.2205,0,0.2,0,0.301582,-0.017162,1.000185
64,2.0421,0.2053,0,0.2,0,0.307619,-0.017828,1.000221
65,2.0699,0.2049,0,0.2,0,0.313669,-0.018508,1.000257
66,2.1016,0.1896,0,0.2,0,0.319727,-0.019201,1.000291
67,2.1324,0.2124,0,0.2,0,0.325786,-0.019906,1.000324
68,2.1655,0.1816,0,0.2,0,0.331839,-0.020624,1.000355
69,2.1956,0.197,0,0.2,0,0.337887,-0.021355,1.000384
70,2.2318,0.1968,0,0.2,0,0.343932,-0.022099,1.000413
71,2.2666,0.1814,0,0.2,0,0.349972,-0.022855,1.000439
72,2.302,0.1889,0,0.2,0,0.356006,-0.023625,1.000464
73,2.3336,0.1733,0,0.2,0,0.362037,-0.024408,1.000487
74,2.3663,0.1966,0,0.2,0,0.368069,-0.025204,1.000509
75,2.3979,0.1813,0,0.2,0,0.374106,-0.026014,1.000529
76,2.4273,0.1661,0,0.2,0,0.38015,-0.026839,1.000547
77,2.4569,0.1656,0,0.2,0,0.386199,-0.027678,1.000564
78,2.4885,0.1421,0,0.2,0,0.39225,-0.02853,1.000578
79,2.5199,0.1418,0,0.2,0,0.3983,-0.029396,1.000591
80,2.5583,0.1659,0,0.2,0,0.404345,-0.030273,1.000603
81,2.5927,0.1584,0,0.2,0,0.410385,-0.031163,1.000613
82,2.6247,0.1899,0,0.2,0,0.416418,-0.032065,1.000621
83,2.6576,0.1822,0,0.2,0,0.422452,-0.03298,1.000627
84,2.6888,0.1977,0,0.2,0,0.428484,-0.033907,1.000633
85,2.7191,0.1665,0,0.2,0,0.434514,-0.034848,1.000636
86,2.755,0.1742,0,0.2,0,0.440545,-0.035802,1.000638
87,2.7853,0.1906,0,0.2,0,0.446579,-0.036769,1.000638
88,2.8158,0.1512,0,0.2,0,0.452618,-0.037751,1.000638
89,2.848,0.1747,0,0.2,0,0.458667,-0.038747,1.000635
90,2.8803,0.1661,0,0.2,0,0.464724,-0.039758,1.000632
91,2.9148,0.1892,0,0.2,0,0.470777,-0.040781,1.000627
92,2.9496,0.1825,0,0.2,0,0.476823,-0.041816,1.000621
93,2.9834,0.1988,0,0.2,0,0.48286,-0.042862,1.000614
94,3.0161,0.1754,0,0.2,0,0.488888,-0.04392,1.000605
95,3.0503,0.1753,0,0.2,0,0.4949,-0.044988,1.000596
96,3.0816,0.1595,0,0.2,0,0.500897,-0.046067,1.000586
97,3.1136,0.198,0,0.2,0,0.506885,-0.047157,1.000574
98,3.1444,0.174,0,0.2,0,0.512867,-0.048259,1.000562
99,3.1766,0.1823,0,0.2,0,0.518842,-0.049373,1.000549
100,3.2062,0.1747,0,0.2,0,0.52481,-0.050499,1.000535
101,3.2417,0.1589,0,0.2,0,0.530775,-0.051638,1.000521
102,3.2757,0.1597,0,0.2,0,0.536744,-0.05279,1.000506
103,3.3085,0.1362,0,0.2,0,0.542717,-0.053955,1.00049
104,3.3423,0.1281,0,0.2,0,0.548692,-0.055134,1.000474
105,3.3721,0.1355,0,0.2,0,0.554671,-0.056326,1.000458
106,3.4056,0.1274,0,0.2,0,0.560657,-0.057532,1.000441
107,3.4346,0.1352,0,0.2,0,0.566653,-0.058753,1.000424
108,3.4663,0.1427,0,0.2,0,0.572659,-0.059989,1.000406
109,3.5004,0.1578,0,0.2,0,0.578664,-0.061237,1.000388
110,3.5342,0.1431,0,0.2,0,0.584664,-0.062497,1.00037
111,3.5654,0.1442,0,0.2,0,0.590656,-0.063767,1.000352
112,3.5976,0.1353,0,0.2,0,0.596638,-0.065049,1.000334
113,3.6294,0.1588,0,0.2,0,0.602615,-0.066343,1.000316
114,3.6614,0.1671,0,0.2,0,0.608591,-0.06765,1.000298
115,3.6933,0.1592,0,0.2,0,0.614569,-0.068971,1.00028
116,3.7265,0.1749,0,0.2,0,0.620551,-0.070306,1.000262
117,3.7609,0.1834,0,0.2,0,0.626532,-0.071654,1.000245
118,3.7927,0.1516,0,0.2,0,0.63251,-0.073016,1.000227
119,3.8256,0.1525,0,0.2,0,0.638483,-0.07439,1.00021
120,3.8578,0.1511,0,0.2,0,0.644445,-0.075775,1.000193
121,3.89,0.1512,0,0.2,0,0.650402,-0.077172,1.000177
122,3.9214,0.1742,0,0.2,0,0.656356,-0.078583,1.00016
123,3.9539,0.1354,0,0.2,0,0.662301,-0.080005,1.000144
124,3.9856,0.1277,0,0.2,0,0.668233,-0.081438,1.000129
125,4.0194,0.1035,0,0.2,0,0.674157,-0.082882,1.000114
126,4.0543,0.1193,0,0.2,0,0.680076,-0.084338,1.0001
127,4.086,0.1188,0,0.2,0,0.685986,-0.085805,1.000085
128,4.1159,0.0953,0,0.2,0,0.691894,-0.087286,1.000072
129,4.1498,0.1029,0,0.2,0,0.697804,-0.08878,1.000059
130,4.1808,0.0941,0,0.2,0,0.703721,-0.09029,1.000046
131,4.2143,0.0874,0,0.2,0,0.70964,-0.091813,1.000034
132,4.2452,0.111,0,0.2,0,0.715552,-0.093349,1.000023
133,4.2794,0.0724,0,0.2,0,0.721464,-0.094898,1.000012
134,4.3134,0.1039,0,0.2,0,0.727376,-0.09646,1.000002
135,4.3461,0.1352,0,0.2,0,0.733284,-0.098036,0.999992
